timestamp,Pitch,Roll,Yaw,accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,quat_w,quat_x,quat_y,quat_z
9379,2.207932,88.17183,-179.53162,-0.30927232,9.588638,-0.5814559,-0.022296581,-0.01817324,0.026725354,-0.24658981,-0.96332985,-0.10577835,0.0104689915,-0.016682273,0.6955447,0.7182128
9486,2.454954,88.2749,-177.53731,-0.29312077,9.583853,-0.49710888,-0.021838432,-0.019394971,0.02641992,-0.2546256,-0.9587652,-0.1262341,-0.000504432,-0.030331722,0.6957311,0.71766144
9593,2.454954,88.2749,-177.53731,-0.29312077,9.583853,-0.49710888,-0.021838432,-0.019394971,0.02641992,-0.2546256,-0.9587652,-0.1262341,-0.000504432,-0.030331722,0.6957311,0.71766144
9699,2.454954,88.2749,-177.53731,-0.29312077,9.583853,-0.49710888,-0.021838432,-0.019394971,0.02641992,-0.2546256,-0.9587652,-0.1262341,-0.000504432,-0.030331722,0.6957311,0.71766144
9806,2.6976838,88.72372,-175.47466,-0.3272185,9.570692,-0.54675996,-0.021991149,-0.016493361,0.027030788,-0.24440011,-0.9608494,-0.13052587,-0.011772778,-0.04441304,0.69778436,0.7148327
9912,2.784087,88.863846,-174.34364,-0.29491538,9.602397,-0.50488555,-0.022449298,-0.019089539,0.027794369,-0.2480861,-0.96143067,-0.118761726,-0.018236982,-0.051857807,0.69814634,0.7138417
10019,2.8239264,89.0418,-173.63197,-0.2853441,9.600602,-0.5629115,-0.02351831,-0.024892759,0.02977968,-0.24852733,-0.9603835,-0.12608649,-0.022339027,-0.05647492,0.6988986,0.71263754
10126,2.881182,89.76672,-172.09343,-0.27996022,9.575478,-0.49531427,-0.021533,-0.0206167,0.027030788,-0.24649407,-0.96387136,-0.100958966,-0.031135354,-0.06640617,0.70253617,0.70785856
10232,3.0113728,89.82293,-171.36493,-0.29491538,9.557531,-0.54795635,-0.027183503,-0.018936822,0.024129178,-0.24866402,-0.96198064,-0.1129576,-0.034798868,-0.07168901,0.7023657,0.7073416
10339,3.0113728,89.82293,-171.36493,-0.29491538,9.557531,-0.54795635,-0.027183503,-0.018936822,0.024129178,-0.24866402,-0.96198064,-0.1129576,-0.034798868,-0.07168901,0.7023657,0.7073416
10446,3.0780253,90.08137,-169.85173,-0.2961118,9.603594,-0.57009,-0.020158552,-0.022143863,0.031306844,-0.24796018,-0.9619857,-0.11445183,-0.04354261,-0.08146493,0.7029029,0.70526236
